company_names,company_code,p/e_ratio
Nilkamal,NILKAMAL.NS,21.3
Wipro,WIT,21.4
Accelya,ACCELYA.NS,21.6
Lumax Industries,LUMAXIND.NS,21.6
UPL,UPL.NS,21.7
Gateway Distriparks,GATEWAY.NS,21.8
Excel Industries,EXCELINDUS.NS,22.1
Jindal Poly Films,JINDALPOLY.NS,22.1
MPS Limited,MPSLTD.NS,22.3
JSW Steel,JSWSTEEL.NS,22.8
Mirza International,MIRZAINT.NS,23.0
Grasim Industries,GRASIM.NS,23.1
Confidence Petroleum,CONFIPET.NS,23.3
Apollo Tyres,APOLLOTYRE.NS,23.3
Capacit'e Infraprojects,CAPACITE.NS,23.3
Granules India,GRANULES.NS,23.5
NHPC Limited,NHPC.NS,23.5
Shankara Building,SHANKARA.NS,23.6
Sterling Tools,STERTOOLS.NS,23.8
Arvind,ARVIND.NS,23.9
Hudco,HUDCO.NS,23.9
Tide Water Oil,TIDEWATER.NS,23.9
National Fertilizers,NFL.NS,24.0
Central Bank of India,CENTRALBK.NS,24.0
PCBL Limited,PCBL.NS,24.2
eClerx Services,ECLERX.NS,24.3
DCM Shriram,DCMSHRIRAM.NS,24.3
Milkfood Limited,MLKFOOD.BO,24.5
Wheels India,WHEELS.NS,24.6
Huhtamaki India,HUHTAMAKI.NS,24.7
Vadilal Industries,VADILALIND.NS,25.0
Marksans Pharma,MARKSANS.NS,25.0
Infosys,INFY,25.0
Punjab National Bank,PNB.NS,25.1
Galaxy Surfactants,GALAXYSURF.NS,25.3
Axis Bank,AXISBANK.BO,25.3
TANLA,TANLA.NS,25.6
Honda Siel Power Products,HONDAPOWER.NS,25.6
Nerolac Paints,KANSAINER.NS,25.7
Aarti Drugs,AARTIDRUGS.NS,25.8
Prime Focus,PFOCUS.NS,25.8
Zensar,ZENSARTECH.NS,26.0
AU Small Finance Bank,AUBANK.NS,26.1
NCC Limited,NCC.NS,26.2
Sasken Technologies,SASKEN.NS,26.3
MSTC Limited,MSTCLTD.NS,26.4
Hindustan Aeronautics,HAL.NS,26.5
Aavas Financiers,AAVAS.NS,26.6
ITC,ITC.NS,26.6
Time Technoplast,TIMETECHNO.NS,26.8
Sterlite Technologies,STLTECH.NS,26.9
National Aluminum & Alloy,NATIONALUM.NS,27.3
GAIL,GAIL.NS,27.4
Hero MotoCorp,HEROMOTOCO.NS,27.4
Finolex Cables,FINCABLES.NS,27.7
Paisalo Digital,PAISALO.NS,28.2
Emami,EMAMILTD.NS,28.3
Mphasis,MPHASIS.NS,28.4
Indoco Remedies,INDOCO.NS,28.4
PDS Multinational,PDSL.NS,28.5
Safari Industries India,SAFARI.NS,28.6
MOIL,MOIL.NS,28.9
Reliance Industries,RELIANCE.NS,28.9
Fine Organics,FINEORG.NS,28.9
Ashok Leyland,ASHOKLEY.NS,29.0
Mastek,MASTEK.NS,29.4
Kewal Kiran Clothing,KKCL.NS,29.8
India Nippon Electricals,INDNIPPON.NS,30.1
SBI Card,SBICARD.NS,30.4
Bayer Crop Science,BAYERCROP.NS,30.5
AIA Engineering,AIAENG.NS,30.6
Vst Tillers Tractors,VSTTILLERS.NS,30.7
Gujarat Gas,GUJGASLTD.NS,30.7
Tech Mahindra,TECHM.NS,30.7
Gujarat Fluorochemicals,FLUOROCHEM.NS,30.8
Indus Towers,INDUSTOWER.NS,30.9
Persistent Systems,PERSISTENT.NS,30.9
Jindal Steel & Power,JINDALSTEL.NS,31.0
