company_names,company_code,earnings
PVR Cinemas,PVR.NS,-$25.17 M
Network18,NETWORK18.NS,-$25.85 M
Prime Focus,PFOCUS.NS,-$27.22 M
GE Power India,GEPIL.NS,-$30.87 M
TCNS Clothing,TCNSBRANDS.NS,-$31.21 M
MEP Infrastructure,MEP.NS,-$36.39 M
Zee Learn,ZEELEARN.NS,-$36.79 M
Glenmark Pharmaceuticals,GLENMARK.NS,-$39.05 M
Alok Industries,ALOKINDS.NS,-$41.62 M
Delhivery,DELHIVERY.NS,-$42.09 M
SPARC,SPARC.NS,-$43.99 M
sterling & wilson solar,SWSOLAR.NS,-$48.09 M
National Fertilizers,NFL.NS,-$51.46 M
Omaxe,OMAXE.NS,-$55.59 M
Rain Industries,RAIN.NS,-$57.08 M
SpiceJet,SPICEJET.BO,-$58.84 M
Sanghi Industries,SANGHIIND.NS,-$64.68 M
Future Supply Chain Solutions,FSC.NS,-$80.91 M
UPL,UPL.NS,-$85.1 M
Mahanagar Telephone Nigam,MTNL.NS,-$87.25 M
Paytm,PAYTM.NS,-$0.13 B
Reliance Infrastructure,RELINFRA.NS,-$0.13 B
GTL Infrastructure,GTLINFRA.NS,-$0.15 B
Dish TV,DISHTV.NS,-$0.23 B
Tata Steel Long Products,TATASTLLP.NS,-$0.27 B
RattanIndia Power,RTNPOWER.NS,-$0.27 B
Future Retail,FRETAIL.NS,-$0.4 B
Vodafone Idea,IDEA.NS,-$0.64 B
Srei Infrastructure Finance,SREINFRA.NS,-$0.81 B
