company_names,company_code,earnings
Polycab India,POLYCAB.NS,$0.26 B
ACC,ACC.NS,$0.25 B
AU Small Finance Bank,AUBANK.NS,$0.25 B
Redington India,REDINGTON.NS,$0.24 B
Karur Vysya Bank,KARURVYSYA.NS,$0.23 B
Cummins India,CUMMINSIND.NS,$0.23 B
Alkem Laboratories,ALKEM.NS,$0.23 B
Indian Hotels Company,INDHOTEL.NS,$0.23 B
Lodha Group,LODHA.NS,$0.23 B
Jindal Stainless (Hisar),JSLHISAR.NS,$0.23 B
Divis Laboratories,DIVISLAB.NS,$0.23 B
SBI Life Insurance,SBILIFE.NS,$0.23 B
National Aluminum & Alloy,NATIONALUM.NS,$0.23 B
Tata Communications,TATACOMM.NS,$0.22 B
Phoenix Mills,PHOENIXLTD.NS,$0.22 B
Tata Consumer Products,TATACONSUM.NS,$0.22 B
PI Industries,PIIND.NS,$0.22 B
L&T Technology Services,LTTS.NS,$0.21 B
Marico,MARICO.NS,$0.21 B
Chambal Fertilisers,CHAMBLFERT.NS,$0.21 B
WNS,WNS,$0.21 B
DLF,DLF.NS,$0.21 B
Mahanagar Gas,MGL.NS,$0.20 B
Raymond,RAYMOND.NS,$0.20 B
GMR Group,GMRINFRA.NS,$0.20 B
Colgate-Palmolive India,COLPAL.NS,$0.20 B
Tube Investments of India,TIINDIA.NS,$0.20 B
Bharat Forge,BHARATFORG.NS,$0.20 B
Container Corporation of India,CONCOR.NS,$0.20 B
Karnataka Bank,KTKBANK.NS,$0.20 B
IDFC,IDFC.NS,$0.20 B
United Spirits,UNITDSPR.BO,$0.20 B
ABB India,ABB.NS,$0.20 B
Apollo Hospitals,APOLLOHOSP.NS,$0.20 B
South Indian Bank,SOUTHBANK.NS,$0.20 B
Balkrishna Industries,BALKRISIND.NS,$0.19 B
Indiabulls Housing Finance,IBULHSGFIN.NS,$0.19 B
Havells India,HAVELLS.NS,$0.19 B
Berger Paints,BERGEPAINT.NS,$0.19 B
Adani Green Energy,ADANIGREEN.NS,$0.19 B
SJVN,SJVN.NS,$0.18 B
Abbott India,ABBOTINDIA.NS,$0.18 B
Nerolac Paints,KANSAINER.NS,$0.18 B
Natco Pharma,NATCOPHARM.NS,$0.18 B
Indian Railway Catering & Tourism,IRCTC.NS,$0.18 B
Gujarat Gas,GUJGASLTD.NS,$0.18 B
AIA Engineering,AIAENG.NS,$0.18 B
Dalmia Bharat,DALBHARAT.NS,$0.17 B
Punjab & Sind Bank,PSB.NS,$0.17 B
Persistent Systems,PERSISTENT.NS,$0.17 B
JK Cement,JKCEMENT.NS,$0.17 B
Supreme Industries,SUPREMEIND.NS,$0.16 B
HDFC Life,HDFCLIFE.NS,$0.16 B
Escorts Limited,ESCORTS.NS,$0.16 B
