company_names,company_code,market_cap
Bodal Chemicals,BODALCHEM.NS,$0.12 B
Excel Industries,EXCELINDUS.NS,$0.12 B
Kellton Tech Solutions,KELLTONTEC.NS,$0.11 B
Orient Paper Mills,ORIENTPPR.NS,$0.11 B
Spencer's Retail,SPENCERS.NS,$0.10 B
Balaji Telefilms,BALAJITELE.NS,$99.61 M
Yatra,YTRA,$99.48 M
Asian Granito India,ASIANTILES.NS,$95.93 M
Nectar Lifesciences,NECLIFE.NS,$93.45 M
Hindustan Media Ventures,HMVL.NS,$92.25 M
3i Infotech,3IINFOLTD.NS,$85.81 M
Ebixcash India,EBIXFOREX.NS,$81.5 M
Apex Frozen Foods,APEX.NS,$79.69 M
Mirza International,MIRZAINT.NS,$78.3 M
Azure Power,AZREF,$74.42 M
Radio City,RADIOCITY.NS,$72.96 M
Rane Brake Lining,RBL.NS,$71.32 M
Reliance Communications,RCOM.NS,$61.65 M
N.B.I. Industrial Finance,NBIFIN.NS,$52.99 M
Hinduja Ventures,NXTDIGITAL.NS,$48.13 M
Milkfood Limited,MLKFOOD.BO,$30.46 M
Zee Learn,ZEELEARN.NS,$26 M
MEP Infrastructure,MEP.NS,$21.99 M
Future Retail,FRETAIL.NS,$17.23 M
Srei Infrastructure Finance,SREINFRA.NS,$12.67 M
Jump Networks,JUMPNET.NS,$11.66 M
Modern Dairies Limited,MODAIRY.BO,$9.16 M
Future Supply Chain Solutions,FSC.NS,$3.63 M
