company_names,company_code,market_cap
Vodafone Idea,IDEA.NS,$7.79 B
Aurobindo Pharma,AUROPHARMA.NS,$7.79 B
MakeMyTrip,MMYT,$7.63 B
Steel Authority of India,SAIL.NS,$7.58 B
IDFC FIRST Bank,IDFCFIRSTB.NS,$7.18 B
L&T Technology Services,LTTS.NS,$7.16 B
PB Fintech,POLICYBZR.NS,$7.14 B
Linde India,LINDEINDIA.NS,$7.12 B
Container Corporation of India,CONCOR.NS,$7.10 B
PI Industries,PIIND.NS,$7.02 B
General Insurance Corporation of India,GICRE.NS,$6.94 B
Alkem Laboratories,ALKEM.NS,$6.92 B
Jindal Stainless,JSL.NS,$6.90 B
Abbott India,ABBOTINDIA.NS,$6.89 B
Suzlon,SUZLON.NS,$6.88 B
Central Bank of India,CENTRALBK.NS,$6.78 B
Madras Rubber Factory,MRF.NS,$6.76 B
Tata Communications,TATACOMM.NS,$6.73 B
Oberoi Realty,OBEROIRLTY.NS,$6.62 B
Bharat Forge,BHARATFORG.NS,$6.57 B
Phoenix Mills,PHOENIXLTD.NS,$6.49 B
Astral Poly Technik,ASTRAL.NS,$6.43 B
Supreme Industries,SUPREMEIND.NS,$6.35 B
Aditya Birla Capital,ABCAPITAL.NS,$6.32 B
Ashok Leyland,ASHOKLEY.NS,$6.28 B
SJVN,SJVN.NS,$6.24 B
Procter & Gamble India,PGHH.NS,$6.19 B
GMR Group,GMRINFRA.NS,$6.16 B
Thermax,THERMAX.NS,$6.14 B
Nykaa,NYKAA.NS,$6.11 B
Schaeffler India,SCHAEFFLER.NS,$6.02 B
Prestige Group,PRESTIGE.NS,$6.00 B
Tata Elxsi,TATAELXSI.NS,$5.86 B
Patanjali Foods,PATANJALI.NS,$5.85 B
United Breweries,UBL.NS,$5.84 B
ACC,ACC.NS,$5.69 B
Dixon Technologies,DIXON.NS,$5.61 B
Balkrishna Industries,BALKRISIND.NS,$5.61 B
Mphasis,MPHASIS.NS,$5.54 B
Bank of Maharashtra,MAHABANK.NS,$5.50 B
Adani Wilmar,AWL.NS,$5.49 B
Petronet LNG,PETRONET.NS,$5.44 B
Voltas,VOLTAS.NS,$5.33 B
APL Apollo,APLAPOLLO.NS,$5.22 B
AU Small Finance Bank,AUBANK.NS,$5.09 B
Hudco,HUDCO.NS,$5.06 B
Punjab & Sind Bank,PSB.NS,$5.05 B
UNO Minda,UNOMINDA.NS,$5.00 B
Page Industries,PAGEIND.NS,$5.00 B
KPIT Technologies,KPITTECH.NS,$4.85 B
Gujarat Gas,GUJGASLTD.NS,$4.67 B
BSE,BSE.NS,$4.65 B
Honeywell Automation India,HONAUT.NS,$4.65 B
Federal Bank,FEDERALBNK.NS,$4.64 B
Gujarat Fluorochemicals,FLUOROCHEM.NS,$4.58 B
UPL,UPL.NS,$4.54 B
