company_names,company_code,market_cap
Persistent Systems,PERSISTENT.NS,$7.24 B
Aurobindo Pharma,AUROPHARMA.NS,$7.14 B
National Mineral Development Corporation,NMDC.NS,$7.14 B
General Insurance Corporation of India,GICRE.NS,$7.03 B
Abbott India,ABBOTINDIA.NS,$6.88 B
PI Industries,PIIND.NS,$6.87 B
Alkem Laboratories,ALKEM.NS,$6.87 B
Muthoot Finance,MUTHOOTFIN.NS,$6.83 B
Jindal Stainless,JSL.NS,$6.82 B
L&T Technology Services,LTTS.NS,$6.79 B
Madras Rubber Factory,MRF.NS,$6.66 B
Linde India,LINDEINDIA.NS,$6.65 B
IDFC FIRST Bank,IDFCFIRSTB.NS,$6.60 B
Tata Communications,TATACOMM.NS,$6.55 B
Procter & Gamble India,PGHH.NS,$6.45 B
Steel Authority of India,SAIL.NS,$6.42 B
Container Corporation of India,CONCOR.NS,$6.32 B
Oberoi Realty,OBEROIRLTY.NS,$6.29 B
Bharat Forge,BHARATFORG.NS,$6.29 B
Astral Poly Technik,ASTRAL.NS,$6.22 B
PB Fintech,POLICYBZR.NS,$6.17 B
Central Bank of India,CENTRALBK.NS,$6.15 B
Suzlon,SUZLON.NS,$6.08 B
Patanjali Foods,PATANJALI.NS,$5.97 B
Supreme Industries,SUPREMEIND.NS,$5.97 B
Ashok Leyland,ASHOKLEY.NS,$5.85 B
SJVN,SJVN.NS,$5.77 B
Tata Elxsi,TATAELXSI.NS,$5.70 B
GMR Group,GMRINFRA.NS,$5.68 B
Nykaa,NYKAA.NS,$5.59 B
Schaeffler India,SCHAEFFLER.NS,$5.50 B
ACC,ACC.NS,$5.48 B
United Breweries,UBL.NS,$5.47 B
Phoenix Mills,PHOENIXLTD.NS,$5.44 B
Aditya Birla Capital,ABCAPITAL.NS,$5.44 B
Mphasis,MPHASIS.NS,$5.40 B
Prestige Group,PRESTIGE.NS,$5.27 B
Balkrishna Industries,BALKRISIND.NS,$5.26 B
Thermax,THERMAX.NS,$5.25 B
Adani Wilmar,AWL.NS,$5.21 B
Dixon Technologies,DIXON.NS,$5.12 B
Bank of Maharashtra,MAHABANK.NS,$5.07 B
APL Apollo,APLAPOLLO.NS,$5.04 B
Punjab & Sind Bank,PSB.NS,$4.82 B
Petronet LNG,PETRONET.NS,$4.65 B
Page Industries,PAGEIND.NS,$4.59 B
New India Assurance,NIACL.NS,$4.58 B
AU Small Finance Bank,AUBANK.NS,$4.51 B
KPIT Technologies,KPITTECH.NS,$4.49 B
UNO Minda,UNOMINDA.NS,$4.45 B
Dalmia Bharat,DALBHARAT.NS,$4.39 B
Hudco,HUDCO.NS,$4.38 B
CRISIL,CRISIL.NS,$4.37 B
Federal Bank,FEDERALBNK.NS,$4.35 B
Gujarat Gas,GUJGASLTD.NS,$4.35 B
AIA Engineering,AIAENG.NS,$4.28 B
UPL,UPL.NS,$4.21 B
Voltas,VOLTAS.NS,$4.21 B
3M India,3MINDIA.NS,$4.14 B
Gujarat Fluorochemicals,FLUOROCHEM.NS,$4.10 B
Coforge,COFORGE.NS,$4.09 B
Delhivery,DELHIVERY.NS,$4.09 B
Honeywell Automation India,HONAUT.NS,$3.95 B
LIC Housing Finance,LICHSGFIN.NS,$3.91 B
Max Financial Services,MFSL.NS,$3.89 B
JK Cement,JKCEMENT.NS,$3.79 B
Coromandel,COROMANDEL.NS,$3.75 B
Bharat Dynamics,BDL.NS,$3.69 B
Fortis Healthcare,FORTIS.NS,$3.65 B
Ipca Laboratories,IPCALAB.NS,$3.62 B
Biocon,BIOCON.NS,$3.60 B
Escorts Limited,ESCORTS.NS,$3.56 B
Jubilant FoodWorks,JUBLFOOD.NS,$3.56 B
BSE,BSE.NS,$3.56 B
Apollo Tyres,APOLLOTYRE.NS,$3.55 B
NLC India,NLCINDIA.NS,$3.55 B
Gland Pharma,GLAND.NS,$3.53 B
Deepak Nitrite,DEEPAKNTR.NS,$3.52 B
Bandhan Bank,BANDHANBNK.NS,$3.50 B
ZF Commercial Vehicle Control Systems India,ZFCVINDIA.NS,$3.48 B
Indraprastha Gas,IGL.NS,$3.45 B
Syngene International,SYNGENE.NS,$3.34 B
National Aluminum & Alloy,NATIONALUM.NS,$3.26 B
Glenmark Pharmaceuticals,GLENMARK.NS,$3.20 B
Tata Chemicals,TATACHEM.NS,$3.18 B
EIH Limited,EIHOTEL.NS,$3.15 B
Exide Industries,EXIDEIND.NS,$3.12 B
Hindustan Copper,HINDCOPPER.NS,$3.10 B
Paytm,PAYTM.NS,$3.06 B
Blue Star,BLUESTARCO.NS,$3.05 B
Apar Industries,APARINDS.NS,$3.04 B
Endurance Technologies,ENDURANCE.NS,$3.00 B
Indian Telephone Industries,ITI.NS,$2.99 B
KIOCL,KIOCL.NS,$2.99 B
Hatsun Agro Products,HATSUN.NS,$2.88 B
Carborundum Universal,CARBORUNIV.NS,$2.84 B
Aarti Industries,AARTIIND.NS,$2.84 B
Sun TV Network,SUNTV.NS,$2.76 B
Bayer Crop Science,BAYERCROP.NS,$2.73 B
Vedant Fashions,MANYAVAR.NS,$2.71 B
JBM Auto,JBMA.NS,$2.64 B
Radico Khaitan,RADICO.NS,$2.63 B
Grindwell Norton,GRINDWELL.NS,$2.62 B
Timken India,TIMKEN.NS,$2.60 B
Nerolac Paints,KANSAINER.NS,$2.60 B
Cyient,CYIENT.NS,$2.58 B
Laurus Labs,LAURUSLABS.NS,$2.56 B
SKF India,SKFINDIA.NS,$2.52 B
NBCC India,NBCC.NS,$2.47 B
Relaxo Footwear,RELAXO.NS,$2.47 B
WNS,WNS,$2.44 B
Ratnamani Metals & Tubes,RATNAMANI.NS,$2.40 B
Mahindra CIE,MAHINDCIE.NS,$2.33 B
Trident,TRIDENT.NS,$2.32 B
Piramal Enterprises,PEL.NS,$2.31 B
Ramco Cements,RAMCOCEM.NS,$2.27 B
Kajaria Ceramics,KAJARIACER.NS,$2.26 B
ReNew Power,RNW,$2.26 B
Alembic Pharmaceuticals,APLLTD.NS,$2.25 B
Devyani International,DEVYANI.NS,$2.23 B
CDSL,CDSL.NS,$2.23 B
Elgi Equipments,ELGIEQUIP.NS,$2.23 B
Emami,EMAMILTD.NS,$2.21 B
"Sumitomo Chemical
India",SUMICHEM.NS,$2.18 B
Bata India,BATAINDIA.NS,$2.12 B
Dr Lal PathLabs,LALPATHLAB.NS,$2.11 B
IDFC,IDFC.NS,$2.11 B
IIFL Wealth Management,IIFLWAM.NS,$2.10 B
Sanofi India Limited,SANOFI.NS,$2.09 B
Crompton Greaves Consumer Electricals,CROMPTON.NS,$2.07 B
Atul,ATUL.NS,$2.06 B
KEC International,KEC.NS,$2.06 B
Natco Pharma,NATCOPHARM.NS,$2.04 B
Multi Commodity Exchange,MCX.NS,$2.03 B
Chalet Hotels,CHALET.NS,$2.01 B
Action Construction Equipment,ACE.NS,$1.98 B
Redington India,REDINGTON.NS,$1.92 B
IndiaMART,INDIAMART.NS,$1.91 B
Piramal Pharma,PPLPHARMA.NS,$1.91 B
RITES,RITES.NS,$1.88 B
Whirlpool India,WHIRLPOOL.NS,$1.87 B
Inox Wind,INOXWIND.NS,$1.87 B
Welspun India,WELSPUNIND.NS,$1.86 B
Schneider Electric Infrastructure,SCHNEIDER.NS,$1.85 B
Tata Teleservices,TTML.NS,$1.83 B
NCC Limited,NCC.NS,$1.77 B
RBL Bank,RBLBANK.NS,$1.75 B
Karur Vysya Bank,KARURVYSYA.NS,$1.75 B
Olectra Greentech,OLECTRA.NS,$1.75 B
Finolex Industries,FINPIPE.NS,$1.74 B
PVR Cinemas,PVR.NS,$1.73 B
CenturyPly,CENTURYPLY.NS,$1.69 B
BASF India,BASF.NS,$1.67 B
V-Guard Industries,VGUARD.NS,$1.67 B
Blue Dart Express,BLUEDART.NS,$1.65 B
Chambal Fertilisers,CHAMBLFERT.NS,$1.64 B
DCM Shriram,DCMSHRIRAM.NS,$1.64 B
Zee Entertainment,ZEEL.NS,$1.63 B
Finolex Cables,FINCABLES.NS,$1.62 B
Alok Industries,ALOKINDS.NS,$1.62 B
Jindal Stainless (Hisar),JSLHISAR.NS,$1.60 B
Zensar,ZENSARTECH.NS,$1.59 B
BLS International,BLS.NS,$1.59 B
Mahanagar Gas,MGL.NS,$1.58 B
Chennai Petroleum,CHENNPETRO.NS,$1.56 B
KSB ltd,KSB.NS,$1.55 B
Asahi India Glass,ASAHIINDIA.NS,$1.54 B
BEML,BEML.NS,$1.54 B
HBL Power Systems,HBLPOWER.NS,$1.54 B
IIFL Finance,IIFL.NS,$1.52 B
Fine Organics,FINEORG.NS,$1.50 B
Ramkrishna Forgings,RKFORGE.NS,$1.47 B
SPARC,SPARC.NS,$1.46 B
Indian Energy Exchange,IEX.NS,$1.44 B
Graphite India,GRAPHITE.NS,$1.44 B
sterling & wilson solar,SWSOLAR.NS,$1.43 B
Amber Enterprises India,AMBER.NS,$1.43 B
Raymond,RAYMOND.NS,$1.42 B
Tejas Networks,TEJASNET.NS,$1.40 B
eClerx Services,ECLERX.NS,$1.39 B
Happiest Minds Technologies,HAPPSTMNDS.NS,$1.38 B
TANLA,TANLA.NS,$1.36 B
Gujarat Mineral Development,GMDCLTD.NS,$1.36 B
Ingersoll Rand India,INGERRAND.NS,$1.34 B
Engineers India,ENGINERSIN.NS,$1.32 B
Bombay Burmah,BBTC.NS,$1.31 B
Reliance Infrastructure,RELINFRA.NS,$1.31 B
Aavas Financiers,AAVAS.NS,$1.28 B
